% Model:              FEM_Orange_Cooling_Gui.mph
% Version:            COMSOL 5.4.0.295
% Date:               Jun 9 2019, 14:18
% Dimension:          2
% Nodes:              407
% Expressions:        7
% Description:        Temperature
% Length unit:        m
% 
R                       Z                        T (K) @ t=0              T (K) @ t=43200          T (K) @ t=86400          T (K) @ t=1.296E5        T (K) @ t=1.728E5        T (K) @ t=2.16E5         T (K) @ t=2.592E5
0.01312904820341399       -0.03998697891692359     299.85001252600796       300.069465203097         300.06213724168373       298.8240538827166        275.9507893743648        276.1399497500553        276.1797796394957
0.012654786585278174      -0.0419556049367847      299.8500125024839        300.0608827861465        300.0538472761215        298.6405886822079        275.9586985872777        276.1403651201981        276.1786174233964
0.015550214013472811      -0.0403146953444185      299.85001250280595       300.06169499154936       300.0546255839338        298.6501910791658        275.95781899809185       276.1403014545083        276.1787248606482
0.002188240326480093      -0.04332426032454621     299.85001252472745       300.0678752091367        300.06061514046667       298.80769340138505       275.9525483585526        276.140081283268         276.17957001107385
2.7554552980815448E-18    -0.045                   299.8500124961073        300.0592809987398        300.0523113629901        298.6210484456016        275.9604172336698        276.14048771791306       276.17840520389365
0.0031463185296559805     -0.044817806924030784    299.8500124972018        300.05938141371956       300.0524076465544        298.6222119803806        275.96030947966545       276.1404800250774        276.1784185069916
0.004714393287284708      -0.04299855485148442     299.8500125257709        300.06798809828024       300.0607228158296        298.8083100852164        275.9524146706071        276.14007030845784       276.17958472639026
0.006414151675193339      -0.04423788922735543     299.8500125033163        300.05969505850237       300.05270853268695       298.62618615697085       275.95997516009095       276.1404564326976        276.17846010894834
0.008118338786633176      -0.04212841929598262     299.85001252538893       300.06849744258767       300.06121129911907       298.81457306876194       275.9518695674573        276.1400315825316        276.1796522386905
0.009599353911757999      -0.04327440794408001     299.8500125026057        300.06020508339606       300.053197604316         298.6324138354851        275.95942832404006       276.1404174688687        276.1785276898564
0.010223929171590571      -0.04143236543483548     299.85001252601035       300.06850985557895       300.0612202175816        298.8110164781555        275.9517925392628        276.14001880128274       276.1796526493633
2.571758278177858E-18     -0.042                   299.85001251959415       300.07529253757485       300.06777778943837       298.959085972899         275.94565421527676       276.13971117684287       276.18057340109254
0.015875022211015374      -0.038227801435822946    299.8500125258183        300.07054500446094       300.0631730773495        298.8381939286673        275.94964371935697       276.1398695144548        276.17992293203304
0.018263720081582013      -0.038387487021458874    299.8500125037397        300.06260596633723       300.05549813611174       298.6607055056109        275.9568259321038        276.14022884368865       276.17884522481506
0.018428296827066322      -0.03623343443148882     299.8500125252459        300.07156439038306       300.0641494179726        298.849944335704         275.9485325491257        276.13978827302117       276.1800576146699
0.020780768555604897      -0.036209687596877274    299.8500125054662        300.0635806532914        300.05643123731204       298.6716681123911        275.9557559358366        276.1401497740476        276.1789738467621
0.0030804898154597714     -0.04180493984721585     299.8500125171927        300.0754091956037        300.06788959173315       298.9603663202628        275.9455277781467        276.13970200698395       276.1805888323502
0.006271352835890279      -0.041185533380639384    299.85001251911996       300.07577172493114       300.0682371885844        298.9647439239396        275.9451374075237        276.1396740054745        276.18063684224535
0.011631005565917526      -0.04063700666394486     299.8500125255233        300.0696575569304        300.06232606537225       298.83177030809804       275.95067560456846       276.1399522271659        276.1798069235037
0.012296542680600146      -0.03877532498070328     299.85001252052524       300.07714153636          300.06954997293616       298.9807280131331        275.94365321191344       276.1395664868375        276.180818046422
0.00935734995419736       -0.040164215688975276    299.8500125201776        300.0763608376979        300.06880187820576       298.9716921203742        275.94450067056465       276.1396280562609        276.1807148064729
0.020821507280471843      -0.034068335487721944    299.850012524962         300.0722485791076        300.0648011163859        298.8539386823397        275.9477155693293        276.13972053690384       276.18014659893424
0.02309276951418773       -0.03381511668039651     299.85001250397073       300.06458867953216       300.05739563122324       298.68250612849226       275.95463999265223       276.1400662614269        276.17910666339395
0.014512156781678161      -0.03908028203322894     299.85001252565957       300.07031754598813       300.0629570346092        298.8377553085323        275.9499296845799        276.1398947027029        276.17989362009575
0.015057919599899277      -0.03705945625567813     299.85001252003406       300.07806913359553       300.0704384646717        298.99122338431664       275.94264059875724       276.1394922782262        276.1809405896141
0.017200491308961643      -0.03722673148165776     299.85001252619446       300.07112889443          300.0637329651473        298.84566344603996       275.9490202338381        276.1398253908787        276.1800003335079
0.017620847783065684      -0.035058880384806465    299.8500125193879        300.07910092807043       300.07142630641107       299.0026124464216        275.94150738882854       276.1394084660993        276.18107674876404
0.019594318810347         -0.035145907835446535    299.8500125263453        300.07223165614454       300.06478952527317       298.85894939489157       275.9478267821052        276.1397391069624        276.1801461938509
0.019973289355290785      -0.03281427740051852     299.8500125193374        300.08019300122174       300.07247134391423       299.0143878252115        275.9403003303508        276.13931834612515       276.18122069497656
0.021956205185997366      -0.032716503811721906    299.85001252608737       300.07328608789356       300.0657979135202        298.8698308603106        275.94665073655415       276.1396501331709        276.1802849568612
0.022109629629251337      -0.03036287350833478     299.85001252024307       300.08130871768265       300.0735384907751        299.026175768296         275.93905969559404       276.13922490373477       276.1813675928141
0.023078649505003636      -0.03150720242623797     299.85001252552723       300.073408000986         300.0659105470312        298.8667975816192        275.94643667846674       276.139625355981         276.1802994510141
0.025195574060948654      -0.03123473565710082     299.8500125029371        300.06559824697985       300.05836095058436       298.6930611617323        275.95351407618614       276.13998109655967       276.17923950298143
0.024016380259831528      -0.030093775741479766    299.8500125258334        300.07462883436335       300.0670842816157        298.88652620687174       275.9452015317898        276.139545823817         276.1804625980498
